,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
0,E 320 Elégance 4-Matic,Mercedes-Benz,E 320,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,Ab MFK,5,Automat,Anthracite,11.5,l/100km
1,Espada GT 400 Serie 3,Lamborghini,null,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,schwarz,48000,Ab MFK,4,Schaltgetriebe,Anthracite,null,
2,F360 Modena Berlinetta,Ferrari,F360,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,2,2004,Benzin,400,beige,42600,Ab MFK,2,Automatisiertes Schaltgetriebe,Blue,19.3,l/100km
3,null,Alfa Romeo,8C,Cabriolet,4691,Porrentruy,null,Occasion,null,null,2,Hinterradantrieb,4,2011,Benzin,450,schwarz,23900,Ab MFK,0,Automatik-Getriebe,Silver,null,
4,Turbo,BMW,2002,Limousine,1977,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,170,schwarz,97100,Ab MFK,4,Schaltgetriebe,Silver,null,
5,SPORTS 2000,Datsun,null,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,schwarz,23300,Ab MFK,2,null,Silver,null,
6,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,schwarz,66300,Ab MFK,5,Automat,Silver,13.5,l/100km
7,Gallardo 5.0 V10 Coupé SE,Lamborghini,GALLARDO,Coupé,4961,Zuzwil,400 g/km,Occasion,G,17.0 l/100km,2,Allrad,1,2006,Benzin,520,schwarz,20000,Ab MFK,2,Automatisiertes Schaltgetriebe,Silver,17.0,l/100km
8,3.5 V8 Cabrio,Mercedes-Benz,280,Cabriolet,3499,Sursee,null,Occasion,null,null,2,null,2,1971,Benzin,200,beige,500,null,4,null,Silver,null,
9,SL 320,Mercedes-Benz,SL 320,Cabriolet,3199,Zuzwil,297 g/km,Occasion,null,12.5 l/100km,2,Hinterradantrieb,7,1996,Benzin,231,schwarz,156800,Ab MFK,2,Automat,Silver,12.5,l/100km
10,Cayenne Turbo,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2004,Benzin,450,schwarz,91600,Ab MFK,5,Automat,Silver,15.7,l/100km
11,745i,BMW,745,Limousine,4398,Zuzwil,276 g/km,Occasion,G,11.4 l/100km,4,Hinterradantrieb,12,2004,Benzin,333,schwarz,27600,Ab MFK,5,Automat sequentiell,Silver,11.4,l/100km
12,911 Carrera 2 RS,Porsche,911,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1992,Benzin,260,schwarz,123000,Ab MFK,2,Schaltgetriebe manuell,Silver,null,
13,911 Carrera 4 Cabrio TECHART,Porsche,911,Cabriolet,3387,Zuzwil,304 g/km,Occasion,null,12.0 l/100km,2,Allrad,5,1999,Benzin,300,schwarz,80400,Ab MFK,4,Automat,Blue,12.0,l/100km
14,E 55 AMG Avantgarde,Mercedes-Benz,E 55 AMG,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,11,2002,Benzin,476,schwarz,53800,Ab MFK,5,Automat sequentiell,Silver,12.9,l/100km
15,RS6 Avant quattro,Audi,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,12,2002,Benzin,450,schwarz,47400,Ab MFK,5,Automat sequentiell,Silver,14.6,l/100km
16,Diablo 5.7 VT,Lamborghini,DIABLO,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Allrad,8,1993,Benzin,492,schwarz,14990,Ab MFK,2,Schaltgetriebe manuell,Silver,null,
17,300SL Roadster,Mercedes-Benz,null,Cabriolet,2995,Sursee,null,Occasion,null,null,2,null,3,1960,Benzin,215,braun,1000,null,2,null,Silver,null,
18,Coupé,Alfa Romeo,8C,Coupé,4691,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2008,null,450,schwarz,37000,null,0,Automatik-Getriebe,Silver,null,
19,ML 400 CDI,Mercedes-Benz,ML 400,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,schwarz,87800,Ab MFK,5,Automat,Silver,10.9,l/100km
20,Golf 2.0 TFSI GTI,VW,GOLF,Limousine,1984,Zuzwil,194 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,2,2007,Benzin,200,grau,87000,Ab MFK,5,Schaltgetriebe manuell,Silver,8.1,l/100km
21,Jetta 2.0 TDI Comfort,VW,JETTA,Limousine,1968,Zuzwil,154 g/km,Occasion,E,5.8 l/100km,4,Vorderradantrieb,3,2009,Diesel,140,grau,33500,Ab MFK,5,Automatisiertes Schaltgetriebe,Silver,5.8,l/100km
22,190 E 2.5-16 ABS,Mercedes-Benz,190,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1989,Benzin,195,schwarz,198000,Ab MFK,5,Automat,Silver,null,
23,GT MF5,Wiesmann,COUPE,Coupé,4999,Zuzwil,null,Occasion,G,14.1 l/100km,2,Hinterradantrieb,7,2008,Benzin,507,schwarz,34600,Ab MFK,2,Automatisiertes Schaltgetriebe,Silver,14.1,l/100km
24,911 Turbo Cabrio,Porsche,911,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,12,2009,Benzin,500,mehrfarbig,52000,"Ab MFK, Direkt-/Parallelimport",4,Automatisiertes Schaltgetriebe,Blue,11.5,l/100km
25,Z4 M Coupé,BMW,Z4,Coupé,3246,Zuzwil,292 g/km,Vorführmodell,G,12.1 l/100km,2,Hinterradantrieb,8,2011,Benzin,343,schwarz,10900,"Ab MFK, Tuning",2,Schaltgetriebe manuell,Silver,12.1,l/100km
26,1300S,Renault,Alpine A110,Coupé,1296,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1969,Benzin,0,schwarz,9999,Ab MFK,0,Schaltgetriebe,Silver,null,
27,Coupé GT,Maserati,COUPÉ GT,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,braun,62300,Ab MFK,4,Automatik-Getriebe,Silver,17.5,l/100km
28,1600 VF,Renault,ALPINE,Coupé,1605,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,8,1976,Benzin,140,schwarz,42940,Ab MFK,4,Schaltgetriebe,Silver,null,
29,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,8,2002,Benzin,335,grau,35100,Ab MFK,5,Automat sequentiell,Silver,12.0,l/100km
30,Corvette Z06,Chevrolet,CORVETTE,Coupé,7011,Zuzwil,350 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,3,2010,Benzin,512,schwarz,24000,Ab MFK,2,Schaltgetriebe manuell,Silver,14.7,l/100km
31,Corolla 1600 GTi TC16,Toyota,COROLLA,Coupé,1587,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,1986,Benzin,116,schwarz,101400,Ab MFK,4,Schaltgetriebe manuell,Silver,null,
32,CLK 55 AMG Avantgarde,Mercedes-Benz,CLK 55 AMG,Coupé,5439,Zuzwil,281 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,6,2000,Benzin,347,schwarz,79500,Ab MFK,4,Automat,Silver,11.7,l/100km
33,S7 Sportback 4.0 TFSI V8 quattro,Audi,S7,Limousine,3993,Zuzwil,225 g/km,Occasion,G,9.6 l/100km,5,Allrad,3,2014,Benzin,420,schwarz,3600,"Ab MFK, Direkt-/Parallelimport",4,Automatisiertes Schaltgetriebe,Silver,9.6,l/100km
34,Arnage T,Bentley,ARNAGE,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,schwarz,15600,null,5,Automat,Silver,20.6,l/100km
35,RS4 4.2 V8 quattro,Audi,RS4,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,mehrfarbig,108200,Ab MFK,5,Schaltgetriebe manuell,Blue,13.5,l/100km
36,E 55 AMG Avantgarde,Mercedes-Benz,E 55 AMG,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,10,2002,Benzin,476,schwarz,52400,Ab MFK,5,Automat sequentiell,Silver,12.9,l/100km
37,911 Turbo,Porsche,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,Ab MFK,4,Schaltgetriebe manuell,Silver,12.9,l/100km
38,645i,BMW,645,Coupé,4398,Zuzwil,283 g/km,Occasion,null,11.7 l/100km,2,Hinterradantrieb,1,2004,Benzin,333,schwarz,79100,Ab MFK,4,Automatik-Getriebe,Silver,11.7,l/100km
39,911 GT3,Porsche,911,Coupé,3600,Zuzwil,320 g/km,Occasion,null,12.9 l/100km,2,Hinterradantrieb,1,2000,Benzin,360,schwarz,77000,Ab MFK,4,Schaltgetriebe manuell,Silver,12.9,l/100km
40,E 420 Avantgarde,Mercedes-Benz,E 420,Limousine,4196,Zuzwil,326 g/km,Occasion,null,14.3 l/100km,4,Hinterradantrieb,11,1996,Benzin,279,schwarz,87800,Ab MFK,5,Automat,Silver,14.3,l/100km
41,911 Carrera 4 S,Porsche,911,Coupé,3596,Zuzwil,277 g/km,Occasion,G,11.4 l/100km,2,Allrad,3,2002,Benzin,320,blau,68100,Ab MFK,4,Schaltgetriebe manuell,Silver,11.4,l/100km
42,DB9 Volante,Aston Martin,DB9,Cabriolet,5935,Zuzwil,333 g/km,Occasion,G,14.3 l/100km,2,Hinterradantrieb,5,2013,Benzin,518,schwarz,17000,Ab MFK,4,Automat sequentiell,Silver,14.3,l/100km
43,Sprint,Triumph,Dolomite,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1977,Benzin,128,schwarz,12800,Ab MFK,5,Schaltgetriebe manuell,Silver,null,
44,SL 500,Mercedes-Benz,SL 500,Cabriolet,4973,Zuzwil,340 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,6,1996,Benzin,320,beige,74400,Ab MFK,0,Automat,Silver,14.3,l/100km
45,M6,BMW,M6,Cabriolet,4999,Zuzwil,366 g/km,Occasion,G,15.2 l/100km,2,Hinterradantrieb,2,2007,Benzin,507,weiss,32000,Ab MFK,4,Automatisiertes Schaltgetriebe,Silver,15.2,l/100km
46,RS4 Avant quattro,Audi,RS4,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,7,2001,Benzin,380,schwarz,57500,Ab MFK,5,Schaltgetriebe manuell,Blue,12.0,l/100km
47,911 GT2,Porsche,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,11,2001,Benzin,462,schwarz,49900,null,4,Schaltgetriebe manuell,Silver,12.9,l/100km
48,Alpine A310 V6,Renault,ALPINE,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1983,Benzin,150,beige,69000,Ab MFK,4,Schaltgetriebe manuell,Silver,null,
49,1600 GT DOHC,Toyota,CELICA,Coupé,1588,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,10,1981,Benzin,107,beige,79300,Ab MFK,5,Schaltgetriebe,Silver,null,
50,Phaeton 6.0 W12 4Motion,VW,PHAETON,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,grau,31300,Ab MFK,4,Automat sequentiell,Silver,15.6,l/100km
51,F430 Scuderia,Ferrari,F430,Coupé,4308,Zuzwil,360 g/km,Occasion,G,15.7 l/100km,2,Hinterradantrieb,3,2008,Benzin,506,schwarz,19999,Ab MFK,2,Automatisiertes Schaltgetriebe,Silver,15.7,l/100km
52,190 E 2.5-16 ABS,Mercedes-Benz,190,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1992,Benzin,195,null,152000,Ab MFK,5,Schaltgetriebe manuell,Silver,null,
53,750i,BMW,750,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1997,Benzin,327,schwarz,69600,Ab MFK,5,Automat sequentiell,Silver,14.2,l/100km
54,911 Carrera S,Porsche,911,Coupé,3824,Zuzwil,277 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,2005,Benzin,355,schwarz,39400,Ab MFK,4,Schaltgetriebe manuell,Silver,11.5,l/100km
55,Mondial 3.4 T,Ferrari,MONDIAL,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,null,16500,Ab MFK,4,Schaltgetriebe manuell,Silver,null,
56,X5 4.4i,BMW,X5,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,3,2002,Benzin,286,beige,60100,Ab MFK,5,Automat sequentiell,Silver,13.9,l/100km
57,F12 Berlinetta,Ferrari,F12,Coupé,6262,Zuzwil,350 g/km,Occasion,G,15.0 l/100km,3,Hinterradantrieb,1,2013,Benzin,736,braun,12000,Direkt-/Parallelimport,2,Automatisiertes Schaltgetriebe,Blue,15.0,l/100km
58,RS 2000,Ford,ESCORT,Coupé,1993,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1978,Benzin,110,schwarz,96600,null,5,Schaltgetriebe,Silver,null,
59,SL 320,Mercedes-Benz,SL 320,Cabriolet,3199,Zuzwil,274 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,1999,Benzin,224,null,83600,Ab MFK,2,Automat,Silver,11.5,l/100km
60,911 Carrera 4S,Porsche,911,Coupé,3824,Zuzwil,285 g/km,Occasion,G,11.8 l/100km,2,Allrad,2,2006,Benzin,355,schwarz,101200,Ab MFK,4,Schaltgetriebe manuell,Silver,11.8,l/100km
61,FJ 40,Toyota,LAND CRUISER,SUV / Geländewagen,4228,Zuzwil,null,Occasion,null,null,3,Allrad,2,1982,Benzin,135,grau,5000,Ab MFK,2,Schaltgetriebe manuell,Silver,null,
62,SL 500,Mercedes-Benz,SL 500,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,Ab MFK,0,Automat,Silver,14.3,l/100km
63,1600S,Renault,Alpine A110,Coupé,1564,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1970,Benzin,124,beige,57700,Ab MFK,2,Schaltgetriebe,Silver,null,
64,ZX,Datsun,280,Coupé,2753,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1981,Benzin,140,rot,50300,Ab MFK,2,Schaltgetriebe,Silver,null,
65,911 GT2,Porsche,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,9,2001,Benzin,462,schwarz,53400,Ab MFK,4,Schaltgetriebe manuell,Silver,12.9,l/100km
66,Murciélago 6.2 Coupé,Lamborghini,MURCIÉLAGO,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,Ab MFK,2,Schaltgetriebe manuell,Silver,21.5,l/100km
67,ML 350 Inspiration,Mercedes-Benz,ML 350,SUV / Geländewagen,3724,Zuzwil,305 g/km,Occasion,G,12.7 l/100km,5,Allrad,10,2003,Benzin,235,schwarz,126300,Ab MFK,5,Automat,Silver,12.7,l/100km
68,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,26300,Ab MFK,5,Automat sequentiell,Blue,12.0,l/100km
69,911 Turbo,Porsche,911,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,schwarz,94500,Ab MFK,4,Automatik-Getriebe,Silver,12.9,l/100km
70,M3 CSL,BMW,M3,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,Ab MFK,5,Automatisiertes Schaltgetriebe,Silver,11.9,l/100km
71,EVO V,Mitsubishi,LANCER,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,1,1999,Benzin,280,schwarz,120800,Ab MFK,5,Schaltgetriebe manuell,Silver,null,
72,6.7 BRABUS,Mercedes-Benz,null,Coupé,6700,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2000,Benzin,450,schwarz,75300,Ab MFK,4,Automatik-Getriebe,Silver,null,
73,911 Carrera 4,Porsche,911,Coupé,3387,Zuzwil,295 g/km,Occasion,G,12.0 l/100km,2,Allrad,11,2000,Benzin,300,schwarz,38200,Ab MFK,4,Schaltgetriebe manuell,Silver,12.0,l/100km
74,TT Roadster 1.8 T,Audi,TT,Cabriolet,1781,Zuzwil,199 g/km,Occasion,G,8.3 l/100km,2,Vorderradantrieb,3,2005,Benzin,180,schwarz,49900,Ab MFK,2,Schaltgetriebe manuell,Silver,8.3,l/100km
75,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,beige,101800,Ab MFK,5,Automat sequentiell,Silver,13.1,l/100km
76,1300,Renault,Alpine A110,Coupé,1288,Zuzwil,null,Occasion,null,null,2,null,0,1973,Benzin,0,schwarz,75700,Ab MFK,2,Schaltgetriebe,Silver,null,
77,Quattroporte 4.2,Maserati,QUATTROPORTE,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2005,Benzin,400,braun,33500,Ab MFK,5,Automatisiertes Schaltgetriebe,Silver,15.8,l/100km
78,SL 500,Mercedes-Benz,SL 500,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1995,Benzin,320,null,96600,Ab MFK,0,Automat,Silver,null,
79,Arnage Red Label,Bentley,ARNAGE,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,5,2000,Benzin,405,grau,19300,Ab MFK,5,Automat,Blue,19.2,l/100km
80,Continental GT Speed 6.0,Bentley,CONTINENTAL,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,Ab MFK,4,Automat,Silver,14.5,l/100km
81,D-Type XKD525,Jaguar,null,Coupé,3442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1956,Benzin,256,beige,5300,null,2,Schaltgetriebe,Violet,null,
82,C2,Chevrolet,CORVETTE,Coupé,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1967,Benzin,0,schwarz,21300,Ab MFK,2,Schaltgetriebe,Violet,null,
83,R5 1400 Alpine Turbo,Renault,R5,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,3,1982,Benzin,108,beige,77900,Ab MFK,4,Schaltgetriebe manuell,Violet,null,
84,E 50 AMG Avantgarde,Mercedes-Benz,E 50 AMG,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,67400,Ab MFK,5,Automat,Violet,13.5,l/100km
85,Diablo 5.7 SV,Lamborghini,DIABLO,Coupé,5707,Porrentruy,575 g/km,Occasion,null,24.9 l/100km,2,Hinterradantrieb,1,1999,Benzin,530,bordeaux,44500,null,2,Schaltgetriebe manuell,Violet,24.9,l/100km
86,S 500,Mercedes-Benz,S 500,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,Ab MFK,5,Automat,Violet,13.4,l/100km
87,Coupé GT,Maserati,COUPÉ GT,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,7,2002,Benzin,390,beige,95300,Ab MFK,4,Automatik-Getriebe,White,17.5,l/100km
88,V8 Vantage 4.7,Aston Martin,V8 Vantage,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,schwarz,9000,Ab MFK,2,Automatisiertes Schaltgetriebe,White,13.2,l/100km
89,ML 400 CDI,Mercedes-Benz,ML 400,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,schwarz,148300,Ab MFK,5,Automat,White,10.9,l/100km
90,RS6 Avant 4.0 TFSI V8 qu,Audi,RS6,Kombi,3993,Zuzwil,229 g/km,Neu,G,9.8 l/100km,5,Allrad,4,2014,Benzin,560,schwarz,100,"Ab MFK, Tuning",5,Automat sequentiell,Blue,9.8,l/100km
91,Sprint,Triumph,Dolomite,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1977,Benzin,128,mehrfarbig,10800,Ab MFK,5,Schaltgetriebe manuell,White,null,
92,Cayenne S,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,3,2003,Benzin,340,schwarz,115000,Ab MFK,5,Automatik-Getriebe,White,15.8,l/100km
93,Spyder GT,Maserati,SPYDER GT,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,5,2003,Benzin,390,braun,78300,Ab MFK,2,Automatisiertes Schaltgetriebe,White,18.6,l/100km
94,A4 3.0 V6,Audi,A4,Limousine,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,4,Vorderradantrieb,2,2004,Benzin,220,schwarz,95300,Ab MFK,5,Automatik-Getriebe,White,9.7,l/100km
95,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,beige,101300,Ab MFK,5,Automat sequentiell,White,12.0,l/100km
96,A310 2700 VA,Renault,ALPINE,Coupé,2663,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,11,1979,Benzin,150,blau,11200,Ab MFK,0,Schaltgetriebe,White,null,
97,575M,Ferrari,575M,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,5,2007,Benzin,517,schwarz,26000,Ab MFK,2,Schaltgetriebe manuell,White,21.8,l/100km
98,SL 600,Mercedes-Benz,SL 600,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,anthrazit,43000,Ab MFK,2,Automat,White,14.4,l/100km
99,CLK 55 AMG Avantgarde,Mercedes-Benz,CLK 55 AMG,Coupé,5439,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,347,null,47500,Ab MFK,4,Automat,White,12.7,l/100km
100,Cayenne Turbo,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Neu,G,15.7 l/100km,5,Allrad,1,2007,Benzin,450,schwarz,10,Ab MFK,5,Automat sequentiell,White,15.7,l/100km
101,Coupé GT,Maserati,COUPÉ GT,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,8,2003,Benzin,390,blau,61400,Ab MFK,4,Automatik-Getriebe,Blue,17.5,l/100km
102,330i,BMW,330,Limousine,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2000,Benzin,231,schwarz,49700,Ab MFK,5,Automat,White,9.9,l/100km
103,CL 600,Mercedes-Benz,CL 600,Coupé,5786,Zuzwil,333 g/km,Occasion,G,13.9 l/100km,2,Hinterradantrieb,11,2000,Benzin,367,grau,94000,Ab MFK,4,Automat,White,13.9,l/100km
104,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,3,1997,Benzin,300,schwarz,94700,null,5,Automat,White,13.5,l/100km
105,911 Turbo S Cabrio,Porsche,911,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,7,2011,Benzin,530,mehrfarbig,14000,Ab MFK,2,Automatisiertes Schaltgetriebe,White,11.5,l/100km
106,MP4-12C Coupé 3.8 V8,Mclaren,12C,Coupé,3798,Zuzwil,279 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,schwarz,23000,Ab MFK,2,Automatisiertes Schaltgetriebe,White,12.3,l/100km
107,458 Spider Italia 4.5 V8,Ferrari,458,Cabriolet,4497,Zuzwil,275 g/km,Occasion,G,11.8 l/100km,2,Hinterradantrieb,1,2012,Benzin,566,schwarz,11700,null,2,Automatisiertes Schaltgetriebe,White,11.8,l/100km
108,RS6 Avant 5.0 V10 quattro,Audi,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,7,2008,Benzin,580,schwarz,120000,Ab MFK,5,Automat sequentiell,White,14.0,l/100km
109,599 GTB,Ferrari,599,Coupé,5999,Zuzwil,490 g/km,Occasion,G,21.3 l/100km,2,Hinterradantrieb,4,2007,Benzin,620,beige,22000,Ab MFK,2,Automatisiertes Schaltgetriebe,White,21.3,l/100km
110,S 63 AMG L,Mercedes-Benz,S 63 AMG,Limousine,6209,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,4,2008,Benzin,525,schwarz,46000,Ab MFK,5,Automat sequentiell,White,14.9,l/100km
111,C1,Chevrolet,CORVETTE,Cabriolet,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1961,Benzin,327,schwarz,67000,Ab MFK,2,Schaltgetriebe manuell,White,null,
112,RT 12,RUF,null,Coupé,3800,Zuzwil,null,Occasion,null,null,2,null,6,2007,Benzin,650,schwarz,36000,Ab MFK,0,null,Anthracite,null,
113,RS6 Avant quattro,Audi,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,schwarz,81000,"Ab MFK, Tuning",5,Automat,Blue,14.6,l/100km
114,S 500 4Matic,Mercedes-Benz,S 500,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,schwarz,62300,Ab MFK,5,Automat sequentiell,White,12.6,l/100km
115,Arnage Green Label,Bentley,ARNAGE,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,7,2000,Benzin,354,grau,34900,Ab MFK,4,Automat,White,19.9,l/100km
116,740i,BMW,740,Limousine,4398,Zuzwil,329 g/km,Occasion,null,13.8 l/100km,4,Hinterradantrieb,4,1998,Benzin,286,grau,85400,Ab MFK,5,Automat,White,13.8,l/100km
117,null,De Tomaso,PANTERA,Limousine,5752,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,9,1974,Benzin,0,schwarz,68100,null,2,Schaltgetriebe,White,null,
118,XJR 4.0 Supercharged,Jaguar,XJ,Limousine,3980,Zuzwil,null,Occasion,null,13.3 l/100km,4,Hinterradantrieb,1,1996,Benzin,320,beige,99900,Ab MFK,5,Automat,White,13.3,l/100km
