,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
494,Mondial 3.4 T,Ferrari,MONDIAL,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,braun,56500,Ab MFK,4,Schaltgetriebe manuell,Green,null,
495,Phaeton 6.0 W12 4Motion,VW,PHAETON,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,anthrazit,43900,Ab MFK,4,Automat sequentiell,Green,15.6,l/100km
496,CLK DTM AMG,Mercedes-Benz,null,Limousine,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,2005,Benzin,582,schwarz,16660,Ab MFK,2,Automatik-Getriebe,Green,null,
497,CLK 55 AMG Avantgarde,Mercedes-Benz,CLK 55 AMG,Cabriolet,5439,Zuzwil,295 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,12,2003,Benzin,367,grau,23700,Ab MFK,4,Automat,Green,12.3,l/100km
498,E 430 Avantgarde,Mercedes-Benz,E 430,Limousine,4266,Zuzwil,320 g/km,Occasion,null,13.9 l/100km,4,Hinterradantrieb,2,1998,Benzin,279,beige,75000,Ab MFK,5,Automat,Green,13.9,l/100km
499,CLS 63 AMG,Mercedes-Benz,CLS 63 AMG,Limousine,6209,Zuzwil,345 g/km,Occasion,G,14.5 l/100km,4,Hinterradantrieb,12,2008,Benzin,515,braun,19100,Ab MFK,4,Automat sequentiell,Beige,14.5,l/100km
500,CL 55 AMG,Mercedes-Benz,CL 55 AMG,Coupé,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,2,Hinterradantrieb,3,2001,Benzin,360,schwarz,50200,Ab MFK,4,Automat,Green,13.0,l/100km
501,Alpina Look,BMW,323,Coupé,0,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,2,1982,Benzin,140,mehrfarbig,211000,null,5,Schaltgetriebe,Green,null,
502,406 Coupé 3.0 V6 Pack,Peugeot,406,Coupé,2946,Zuzwil,238 g/km,Occasion,G,10.0 l/100km,2,Vorderradantrieb,10,2003,Benzin,208,braun,72600,Ab MFK,4,Schaltgetriebe manuell,Green,10.0,l/100km
503,CSI A,BMW,633,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,mehrfarbig,128600,Ab MFK,4,Automatik-Getriebe,Green,null,
504,SLK 320,Mercedes-Benz,SLK 320,Cabriolet,3199,Zuzwil,267 g/km,Occasion,G,11.1 l/100km,2,Hinterradantrieb,5,2000,Benzin,218,schwarz,43200,Ab MFK,2,Schaltgetriebe manuell,Green,11.1,l/100km
505,RS6 Avant 5.0 V10 quattro,Audi,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,12,2008,Benzin,580,mehrfarbig,45300,Ab MFK,5,Automat,Green,14.0,l/100km
506,SL 500,Mercedes-Benz,SL 500,Cabriolet,4966,Zuzwil,292 g/km,Occasion,G,12.1 l/100km,2,Hinterradantrieb,5,2004,Benzin,306,anthrazit,7600,Ab MFK,2,Automat sequentiell,Green,12.1,l/100km
507,CL 600,Mercedes-Benz,CL 600,Coupé,5786,Zuzwil,321 g/km,Occasion,G,13.4 l/100km,2,Hinterradantrieb,5,2000,Benzin,367,anthrazit,29000,Ab MFK,4,Automat,Green,13.4,l/100km
508,A6 2.8 Ambiente,Audi,A6,Limousine,2771,Zuzwil,240 g/km,Occasion,null,10.0 l/100km,4,Vorderradantrieb,2,1998,Benzin,193,beige,94000,null,5,Automatik-Getriebe,Green,10.0,l/100km
509,ML 63 AMG 4Matic,Mercedes-Benz,ML 63 AMG,SUV / Geländewagen,5461,Zuzwil,276 g/km,Occasion,G,11.8 l/100km,5,Allrad,1,2012,Benzin,525,braun,16500,"Ab MFK, Tuning",5,Automatisiertes Schaltgetriebe,Green,11.8,l/100km
510,X5 4.4i,BMW,X5,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,11,2000,Benzin,286,schwarz,40500,Ab MFK,5,Automat sequentiell,Beige,13.9,l/100km
511,SL 600,Mercedes-Benz,SL 600,Cabriolet,5987,Zuzwil,370 g/km,Occasion,null,15.5 l/100km,2,Hinterradantrieb,5,1996,Benzin,394,grün,12900,Ab MFK,0,Automat,Green,15.5,l/100km
512,Turbo,Porsche,911,Coupé,3600,Zuzwil,null,Occasion,null,null,2,Allrad,2,2007,Benzin,800,schwarz,34000,"Ab MFK, Tuning",2,Schaltgetriebe,Green,null,
513,Range Rover 4.6 HSE,Land Rover,RANGE ROVER,SUV / Geländewagen,4554,Zuzwil,398 g/km,Occasion,null,16.4 l/100km,5,Allrad,10,1998,Benzin,218,schwarz,70000,Ab MFK,5,Automat,Green,16.4,l/100km
514,SL 55 AMG,Mercedes-Benz,SL 55 AMG,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,5,2002,Benzin,476,anthrazit,33400,Ab MFK,2,Automat,Green,14.2,l/100km
515,Alfasud 1.5 ti,Alfa Romeo,ALFASUD,Limousine,1490,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,8,1981,Benzin,95,mehrfarbig,81900,Ab MFK,5,Schaltgetriebe manuell,Green,null,
